[18:45:12] [ServerMain/INFO]: Building unoptimized datafixer
[18:45:13] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[18:45:14] [ServerMain/INFO]: Loaded 7 recipes
[18:45:15] [ServerMain/INFO]: Loaded 1179 advancements
[18:45:15] [Server thread/INFO]: Starting minecraft server version 1.19.2
[18:45:15] [Server thread/INFO]: Loading properties
[18:45:15] [Server thread/INFO]: Default game type: SURVIVAL
[18:45:15] [Server thread/INFO]: Generating keypair
[18:45:16] [Server thread/INFO]: Starting Minecraft server on *:25565
[18:45:16] [Server thread/INFO]: Using epoll channel type
[18:45:16] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[18:45:16] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[18:45:16] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[18:45:16] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[18:45:16] [Server thread/INFO]: Preparing level "world"
[18:45:33] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[18:45:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:35] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:35] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:39] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:39] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:42] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:42] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:46:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
